?pmc_id0	?text0	?pmc_id1	?text1	?count
MESH:D003404	creatinine	MESH:D005334	fever	103
MESH:D006854	hydrocortisone	MESH:C000657245	COVID-19	103
MESH:D010100	oxygen	MESH:D003967	diarrhea	102
MESH:D012254	ribavirin	MESH:D045169	SARS	102
MESH:C558899	lopinavir/ritonavir	MESH:C000657245	SARS-CoV-2 infection	101
MESH:D000241	adenosine	MESH:C000657245	COVID-19	101
MESH:D006886	Hydroxychloroquine	MESH:C000657245	SARS-CoV-2 infection	100
MESH:C533411	ocrelizumab	MESH:C000657245	COVID-19	97
MESH:D000432	methanol	MESH:C000657245	COVID-19	97
MESH:D009705	nucleoside	MESH:C000657245	COVID-19	92
-	NO2	MESH:C000657245	COVID-19	91
MESH:C558899	Lopinavir/Ritonavir	MESH:C000657245	COVID-19 pneumonia	91
MESH:D002738	CQ	MESH:C000657245	SARS-CoV-2 infection	91
MESH:C000606551	Remdesivir	MESH:C000657245	Covid-19	89
MESH:C032855	nafamostat	MESH:C000657245	COVID-19	89
-	GSH	MESH:C000657245	COVID-19	87
MESH:D000068879	adalimumab	MESH:C000657245	COVID-19	87
MESH:D012964	sodium	MESH:C000657245	COVID-19	87
MESH:D002443	ceftriaxone	MESH:C000657245	COVID-19	86
MESH:D016572	cyclosporine	MESH:C000657245	COVID-19	85
MESH:D019438	Ritonavir	MESH:C000657245	COVID-19	85
MESH:D000069474	Sofosbuvir	MESH:C000657245	COVID-19	84
MESH:C104450	"25-hydroxyvitamin D"	MESH:C000657245	COVID-19	83
MESH:D011239	prednisolone	MESH:C000657245	COVID-19	83
MESH:C479163	tofacitinib	MESH:C000657245	COVID-19	82
MESH:D002713	chlorine	MESH:C000657245	COVID-19	82
MESH:D008727	MTX	MESH:C000657245	COVID-19	82
MESH:D008727	methotrexate	MESH:C000657245	COVID-19	82
MESH:D010100	Oxygen	MESH:C000657245	COVID-19	82
MESH:C000596027	Baricitinib	MESH:C000657245	COVID-19	81
MESH:D017963	azithromycin	MESH:C000657245	SARS-CoV-2 infection	81
-	CTPA	MESH:C000657245	COVID-19	80
MESH:D006886	hydroxychloroquine	MESH:C000657245	COVID-19 pneumonia	80
MESH:D006886	hydroxychloroquine	MESH:C000657245	coronavirus disease 2019	80
MESH:D019344	lactate	MESH:C000657245	COVID-19	80
MESH:C558899	lopinavir-ritonavir	MESH:C000657245	Covid-19	79
-	EVT	MESH:C000657245	COVID-19	77
MESH:D014867	water	MESH:D005334	fever	77
MESH:D000069285	Ca2+	MESH:C000657245	COVID-19	76
MESH:D003404	Creatinine	MESH:C000657245	COVID-19	76
MESH:D006418	heme	MESH:C000657245	COVID-19	76
MESH:D045162	thiazolidinediones	MESH:C000657245	COVID-19	76
MESH:C502936	tocilizumab	MESH:D011014	pneumonia	75
MESH:D000431	ethanol	MESH:C000657245	COVID-19	75
MESH:C000606551	remdesivir	MESH:D005334	fever	74
MESH:C034532	camostat mesylate	MESH:C000657245	COVID-19	73
MESH:D053139	oseltamivir	MESH:D005334	fever	73
MESH:D003404	creatinine	MESH:D011014	pneumonia	72
MESH:D006854	cortisol	MESH:C000657245	COVID-19	72
MESH:D007052	ibuprofen	MESH:D005334	fever	72
MESH:D001241	aspirin	MESH:C000657245	COVID-19	71
MESH:D002245	CO2	MESH:C000657245	COVID-19	70
MESH:D009020	morphine	MESH:C000657245	COVID-19	70
MESH:C558899	Lopinavir/ritonavir	MESH:D011014	pneumonia	69
MESH:C555450	secukinumab	MESH:C000657245	COVID-19	68
MESH:C558899	Lopinavir-ritonavir	MESH:C000657245	COVID-19	68
MESH:D001379	azathioprine	MESH:C000657245	COVID-19	68
MESH:D010100	O2	MESH:D005334	fever	68
MESH:C023676	Chloroquine phosphate	MESH:D011014	pneumonia	67
MESH:C023676	chloroquine phosphate	MESH:D011014	pneumonia	67
MESH:C502936	tocilizumab	MESH:C000657245	SARS-CoV-2 infection	67
MESH:D000069454	darunavir	MESH:C000657245	COVID-19	67
MESH:D002738	Chloroquine	MESH:D018352	SARS coronavirus infection	66
MESH:D013256	steroids	MESH:D011014	pneumonia	66
MESH:C558899	Lopinavir/ Ritonavir	MESH:C000657245	COVID-19	65
MESH:D006861	hydrogen peroxide	MESH:C000657245	COVID-19	65
MESH:D019788	FDG	MESH:C000657245	COVID-19	65
-	rhACE2	MESH:C000657245	COVID-19	64
MESH:D002738	chloroquine	MESH:C000657245	COVID-19 pneumonia	63
MESH:D003404	creatinine	MESH:D005334	Fever	63
MESH:D017963	azithromycin	MESH:C000657245	Covid-19	63
MESH:D000255	ATP	MESH:C000657245	COVID-19	62
MESH:D001964	bromhexine	MESH:C000657245	COVID-19	62
MESH:D016572	CsA	MESH:C000657245	COVID-19	62
MESH:D006886	hydroxychloroquine sulfate	MESH:C000657245	COVID-19	61
-	"25(OH)D"	MESH:D011014	pneumonia	60
-	FiO2	MESH:D011014	pneumonia	60
MESH:C558899	lopinavir/ritonavir	MESH:C000657245	COVID-19 pneumonia	60
MESH:D002762	vitamin D3	MESH:C000657245	COVID-19	60
MESH:D003401	creatine	MESH:C000657245	COVID-19	60
MESH:D008775	methylprednisolone	MESH:D005334	fever	60
MESH:D010126	ozone	MESH:C000657245	COVID-19	60
MESH:D053139	oseltamivir	MESH:D011014	pneumonia	59
MESH:D003907	Dexamethasone	MESH:C000657245	COVID-19	58
MESH:D014810	vitamin E	MESH:C000657245	COVID-19	58
MESH:D008691	methadone	MESH:C000657245	COVID-19	57
MESH:D014640	vancomycin	MESH:C000657245	COVID-19	57
-	AGMP	MESH:C000657245	COVID-19	56
MESH:D000077269	lenalidomide	MESH:C000657245	COVID-19	56
MESH:D006153	GDP	MESH:C000657245	COVID-19	56
MESH:D010431	pentoxifylline	MESH:C000657245	COVID-19	56
-	NIBS	MESH:C000657245	COVID-19	55
MESH:C000606551	Remdesivir	MESH:D011014	Pneumonia	55
MESH:D000438	alcohol	MESH:C000657245	Covid-19	55
MESH:D001205	vitamin C	MESH:D011014	pneumonia	55
MESH:D002738	Chloroquine	MESH:C000657245	SARS-CoV-2 infection	55
MESH:D009538	Nicotine	MESH:C000657245	COVID-19	55
-	CS	MESH:C000657245	COVID-19	54
MESH:C522181	apixaban	MESH:C000657245	COVID-19	54
MESH:C558899	lopinavir/ritonavir	MESH:D009223	DM Fever	54
MESH:D000077594	nivolumab	MESH:C000657245	COVID-19	54
MESH:D002047	buprenorphine	MESH:C000657245	COVID-19	54
MESH:D014867	Water	MESH:C000657245	COVID-19	54
MESH:D017382	reactive oxygen species	MESH:C000657245	COVID-19	54
MESH:D061466	lopinavir	MESH:D011014	pneumonia	54
MESH:C000592401	Sarilumab	MESH:C000657245	COVID-19	53
MESH:C000606551	Remdesivir	MESH:D011014	pneumonia	53
MESH:C558899	Lopinavir-Ritonavir	MESH:C000657245	Covid-19	53
MESH:C000606551	remdesivir	MESH:C000657245	covid-19	52
MESH:D000068258	bevacizumab	MESH:C000657245	COVID-19	52
MESH:D001569	benzodiazepines	MESH:C000657245	COVID-19	52
MESH:D002738	chloroquine	MESH:D005334	fever	52
MESH:D007052	Ibuprofen	MESH:C000657245	COVID-19	52
MESH:D009173	mycophenolate mofetil	MESH:C000657245	COVID-19	52
MESH:D015742	propofol	MESH:C000657245	COVID-19	52
-	FCV-19S	MESH:C000657245	COVID-19	51
MESH:C000606551	Remdesivir	MESH:D005334	fever	51
MESH:D006160	GTP	MESH:C000657245	COVID-19	51
MESH:D006886	hydroxychloroquine	MESH:D003967	diarrhea	51
MESH:D009638	norepinephrine	MESH:C000657245	COVID-19	51
MESH:D061466	LPV	MESH:C000657245	COVID-19	51
MESH:D000069286	bortezomib	MESH:C000657245	COVID-19	50
MESH:D001663	TBIL	MESH:C000657245	COVID-19	50
MESH:D002738	chloroquine	MESH:C000657245	covid-19	50
MESH:D005978	GSH	MESH:C000657245	COVID-19	50
MESH:D012694	serine	MESH:C000657245	SARS-CoV-2 infection	50
MESH:D014807	vitamin D	MESH:D011014	pneumonia	50
MESH:C000606551	Remdesivir	MESH:C000657245	SARS-CoV-2 infection	49
MESH:C558899	Lopinavir/ritonavir	MESH:D003967	diarrhea	49
MESH:D008094	lithium	MESH:C000657245	COVID-19	49
MESH:D011241	prednisone	MESH:D005334	fever	49
MESH:D017963	AZM	MESH:C000657245	COVID-19	49
-	Plantaricin	MESH:C000657245	COVID-19	48
-	H2O	MESH:D011014	Pneumonia	48
MESH:D000082	paracetamol	MESH:D005334	fever	48
MESH:D002738	CQ	MESH:D011014	pneumonia	48
MESH:D005947	glucose	MESH:D005334	fever	48
MESH:D008775	methylprednisolone	MESH:C000657245	COVID-19 pneumonia	48
MESH:D008775	methylprednisolone	MESH:D011014	pneumonia	48
MESH:D012254	Ribavirin	MESH:D045169	SARS	48
MESH:D012973	sodium hypochlorite	MESH:C000657245	COVID-19	48
-	"5-ASAs"	MESH:C000657245	COVID-19	47
MESH:D000068338	everolimus	MESH:C000657245	COVID-19	47
MESH:D020123	sirolimus	MESH:C000657245	COVID-19	47
MESH:C000606551	GS-5734	MESH:C000657245	COVID-19	46
MESH:C086979	arbidol	MESH:D011014	pneumonia	46
MESH:C414210	peramivir	MESH:C000657245	COVID-19	46
MESH:D005047	etoposide	MESH:C000657245	COVID-19	46
MESH:D006493	heparin	MESH:D011014	pneumonia	46
-	NIPPV	MESH:C000657245	COVID-19	45
MESH:C023676	CQ	MESH:C000657245	COVID-19	45
MESH:C558899	Lopinavir/ritonavir	MESH:C000657245	COVID-19 pneumonia	45
MESH:C558899	lopinavir/ritonavir	MESH:D005334	CAD Fever	45
MESH:D001663	TBL	MESH:C000657245	COVID-19	45
MESH:D002738	Chloroquine	MESH:D011014	pneumonia	45
MESH:D006886	Hydroxychloroquine	MESH:D011014	pneumonia	45
MESH:D012254	ribavirin	MESH:D005334	fever	45
MESH:D013256	steroid	MESH:D011014	pneumonia	45
MESH:C120481	ciclesonide	MESH:C000657245	COVID-19	44
MESH:C558899	Lopinavir/ritonavir	MESH:D005334	fever	44
MESH:D006493	heparin	MESH:C000657245	Covid-19	44
MESH:D014635	valproic acid	MESH:C000657245	COVID-19	44
MESH:D018698	Glu	MESH:C000657245	COVID-19	44
-	ARBs	MESH:C000657245	COVID-19	43
MESH:C502936	Tocilizumab	MESH:C000657245	COVID-19 pneumonia	43
MESH:D000068877	imatinib	MESH:C000657245	COVID-19	43
MESH:D000069442	natalizumab	MESH:C000657245	COVID-19	43
MESH:D000077205	pioglitazone	MESH:C000657245	COVID-19	43
MESH:D000082	acetaminophen	MESH:D005334	fever	43
MESH:D001379	AZA	MESH:C000657245	COVID-19	43
MESH:D003404	Cr	MESH:D005334	Fever	43
MESH:D008874	midazolam	MESH:C000657245	COVID-19	43
MESH:D009173	MMF	MESH:C000657245	COVID-19	43
MESH:D009569	Nitric Oxide	MESH:C000657245	COVID-19	43
MESH:D014580	UDCA	MESH:C000657245	COVID-19	43
-	Xiyanping	MESH:C000657245	COVID-19	42
MESH:D000068698	tenofovir	MESH:C000657245	COVID-19	42
MESH:D000069446	atazanavir	MESH:C000657245	COVID-19	42
MESH:D001964	Bromhexine Hydrochloride	MESH:C000657245	COVID-19	42
MESH:D002443	ceftriaxone	MESH:D005334	fever	42
MESH:D002738	chloroquine	MESH:C000657245	Covid-19	42
MESH:D005947	Glucose	MESH:C000657245	COVID-19	42
MESH:D005978	GSH	MESH:D005334	fever	42
MESH:D008775	Methylprednisolone	MESH:C000657245	COVID-19	42
MESH:D009543	nifedipine	MESH:C000657245	COVID-19	42
MESH:D012254	ribavirin	MESH:C000657245	SARS-CoV-2 infection	42
MESH:C558899	lopinavir/ritonavir	MESH:D045169	SARS	41
MESH:D000077266	moxifloxacin	MESH:C000657245	COVID-19	41
MESH:D001241	ASA	MESH:C000657245	COVID-19	41
MESH:D002738	CQ	MESH:D005334	fever	41
MESH:D011134	polysaccharides	MESH:C000657245	COVID-19	41
MESH:D019343	citrate	MESH:C000657245	COVID-19	41
-	LPV/r	MESH:C000657245	COVID-19	40
MESH:C086979	Umifenovir	MESH:C000657245	COVID-19	40
MESH:D000450	Aldosterone	MESH:C000657245	Covid-19	40
MESH:D002395	catecholamine	MESH:C000657245	COVID-19	40
MESH:D008550	melatonin	MESH:C000657245	covid-19	40
MESH:D010100	oxygen	MESH:D005334	Fever	40
MESH:D010100	O2	MESH:D011014	pneumonia	40
MESH:D012254	ribavirin	MESH:D011014	pneumonia	40
MESH:D065819	voriconazole	MESH:C000657245	COVID-19	40
-	LPV-r	MESH:C000657245	COVID-19	39
-	RNOH	MESH:C000657245	COVID-19	39
MESH:C031280	pyrazole	MESH:C000657245	COVID-19	39
MESH:C037219	quinoline	MESH:C000657245	COVID-19	39
MESH:C558899	LPV/RTV	MESH:C000657245	COVID-19	39
MESH:D000438	alcohol	MESH:D005334	fever	39
MESH:D001623	betamethasone	MESH:C000657245	COVID-19	39
MESH:D001663	bilirubin	MESH:D045169	SARS	39
MESH:D003404	Creatinine	MESH:D011014	pneumonia	39
MESH:D009173	mycophenolate	MESH:C000657245	COVID-19	39
MESH:D019788	FDG	MESH:C000657245	Covid-19	39
MESH:C041747	Nitazoxanide	MESH:C000657245	COVID-19	38
MESH:D001205	Vitamin C	MESH:C000657245	COVID-19	38
MESH:D002443	ceftriaxone	MESH:D011014	pneumonia	38
MESH:D004318	doxycycline	MESH:C000657245	COVID-19	38
MESH:D007559	ivermectin	MESH:C000657245	COVID-19	38
MESH:D013256	steroid	MESH:C000657245	COVID-19 pneumonia	38
MESH:D013256	steroids	MESH:C000657245	COVID-19 pneumonia	38
MESH:D013792	thalidomide	MESH:C000657245	COVID-19	38
MESH:D017291	clarithromycin	MESH:C000657245	COVID-19	38
MESH:D064704	levofloxacin	MESH:C000657245	COVID-19	38
-	NDMM	MESH:C000657245	COVID-19	37
-	UMAP	MESH:C000657245	COVID-19	37
-	tweet	MESH:C000657245	COVID-19	37
MESH:D000068876	Fingolimod	MESH:C000657245	COVID-19	37
MESH:D006886	HCQ	MESH:C000657245	Covid-19	37
MESH:D006886	Hydroxychloroquine	MESH:C000657245	Covid-19	37
MESH:D006886	Hydroxychloroquine	MESH:D005334	fever	37
MESH:D009173	mycophenolic acid	MESH:C000657245	COVID-19	37
MESH:D010100	oxygen	MESH:C000657245	coronavirus disease 2019	37
MESH:D013256	steroids	MESH:D005334	fever	37
-	Favilavir	MESH:C000657245	COVID-19	36
MESH:C558899	lopinavir-ritonavir	MESH:C000657245	covid-19	36
MESH:C558899	lopinavir/ritonavir	MESH:D005334	HTN Fever	36
MESH:D002248	CO	MESH:C000657245	COVID-19	36
MESH:D003404	Creatinine	MESH:D003967	diarrhea	36
MESH:D003505	CDs	MESH:C000657245	COVID-19	36
MESH:D004176	dipyridamole	MESH:C000657245	COVID-19	36
MESH:D005947	glucose	MESH:D011014	pneumonia	36
MESH:D006493	heparins	MESH:C000657245	COVID-19	36
MESH:D006886	hydroxychloroquine	MESH:D005334	Fever	36
MESH:D008670	metal	MESH:C000657245	COVID-19	36
MESH:D008687	Metformin	MESH:C000657245	COVID-19	36
MESH:D010634	luminal	MESH:C000657245	COVID-19	36
MESH:D049971	Thiazide	MESH:C000657245	COVID-19	36
-	GS-441524	MESH:C000657245	COVID-19	35
-	Glu166	MESH:C000657245	COVID-19	35
MESH:C000604955	clazakizumab	MESH:C000657245	COVID-19	35
MESH:C000606551	remdesivir	MESH:D003967	diarrhea	35
MESH:C086979	arbidol	MESH:D003967	diarrhea	35
MESH:C556306	daratumumab	MESH:C000657245	COVID-19	35
MESH:C582435	pembrolizumab	MESH:C000657245	COVID-19	35
MESH:D000068756	valsartan	MESH:C000657245	COVID-19	35
MESH:D000450	Aldosterone	MESH:C000657245	COVID-19	35
MESH:D006886	HCQ	MESH:C000657245	coronavirus disease 2019	35
MESH:D006886	HCQ	MESH:D011014	hypoxic pneumonia	35
MESH:D008274	magnesium	MESH:C000657245	COVID-19	35
MESH:D010649	PHE	MESH:C000657245	COVID-19	35
MESH:D012254	ribavirin	MESH:D003967	diarrhea	35
MESH:D017963	azithromycin	MESH:C000657245	COVID-19 pneumonia	35
-	DMTs	MESH:C000657245	COVID-19	34
-	OHCAs	MESH:C000657245	COVID-19	34
-	PaCO2	MESH:C000657245	COVID-19	34
-	Th2	MESH:C000657245	COVID-19	34
MESH:C093844	pirfenidone	MESH:C000657245	COVID-19	34
MESH:C558899	Lopinavir/Ritonavir	MESH:D005334	Fever	34
MESH:D002395	catecholamines	MESH:C000657245	COVID-19	34
MESH:D003404	creatinine	MESH:D003967	diarrhea	34
MESH:D009821	oil	MESH:C000657245	COVID-19	34
MESH:D012254	Ribavirin	MESH:D005334	fever	34
MESH:D015289	leukotrienes	MESH:C000657245	COVID-19	34
MESH:D017334	teicoplanin	MESH:C000657245	COVID-19	34
MESH:D019258	saquinavir	MESH:C000657245	COVID-19	34
MESH:D019438	ritonavir	MESH:D011014	pneumonia	34
-	UTP	MESH:C000657245	COVID-19	33
MESH:C558899	lopinavir-ritonavir	MESH:D005334	fever	33
MESH:D000069474	Sofosbuvir	MESH:D045169	SARS	33
MESH:D000074323	alemtuzumab	MESH:C000657245	COVID-19	33
MESH:D000438	Alcohol	MESH:C000657245	COVID-19	33
MESH:D001663	bilirubin	MESH:D005334	fever	33
MESH:D002738	CLQ	MESH:C000657245	COVID-19	33
MESH:D002746	chlorpromazine	MESH:C000657245	COVID-19	33
MESH:D003024	clozapine	MESH:D011014	pneumonia	33
MESH:D003545	Cys	MESH:C000657245	COVID-19	33
MESH:D006160	GTP	MESH:D045169	SARS	33
MESH:D008550	Melatonin	MESH:C000657245	COVID-19	33
MESH:D010100	oxygen	MESH:D005334	fevers	33
MESH:D014508	urea	MESH:D011014	pneumonia	33
MESH:D014807	vitamin D	MESH:C000657245	SARS-CoV-2 infection	33
MESH:D015289	leukotriene	MESH:C000657245	COVID-19	33
MESH:D016572	ciclosporin	MESH:C000657245	COVID-19	33
-	"5-ASA"	MESH:C000657245	COVID-19	32
-	QTc	MESH:C000657245	COVID-19	32
-	UTP	MESH:D045169	SARS	32
MESH:C093875	montelukast	MESH:C000657245	COVID-19	32
MESH:C462182	favipiravir	MESH:D005334	fever	32
MESH:C558899	Lopinavir-Ritonavir	MESH:C000657245	COVID-19	32
MESH:D000068756	Valsartan	MESH:C000657245	COVID-19	32
MESH:D000069059	atorvastatin	MESH:C000657245	COVID-19	32
MESH:D002738	Chloroquine	MESH:D003967	diarrhea	32
MESH:D002738	Chloroquine	MESH:D011014	Pneumonia	32
MESH:D002738	chloroquine	MESH:D018352	coronavirus infection	32
MESH:D003300	Cu	MESH:D001991	bronchitis virus	32
MESH:D003404	Creatinine	MESH:D005334	fever	32
MESH:D005682	gadolinium	MESH:C000657245	COVID-19	32
MESH:D006639	His	MESH:C000657245	COVID-19	32
MESH:D006886	(hydroxy)chloroquine	MESH:C000657245	COVID-19	32
MESH:D006886	Hydroxychloroquine sulphate	MESH:C000657245	COVID-19	32
MESH:D008775	methylprednisolone	MESH:D045169	SARS	32
MESH:D010100	oxygen	MESH:D045169	SARS	32
-	thiopurines	MESH:C000657245	COVID-19	31
MESH:C034532	camostat mesylate	MESH:C000657245	SARS-CoV-2 infection	31
MESH:C462182	favipiravir	MESH:C000657245	SARS-CoV-2 infection	31
