?pmc_id0	?text_0	?pmc_id1	?text_1	?count
43740568	S	MESH:C000606551	Remdesivir	50
22848	AP2-associated protein kinase 1	MESH:C000596027	Baricitinib	49
3569	IL-6	MESH:D005947	Glucose	49
59272	ACE2	MESH:D014867	water	48
59272	angiotensin converting enzyme 2	MESH:D061466	lopinavir	47
7124	TNFalpha	MESH:D010100	O2	47
213	Albumin	MESH:D014508	Urea	46
8673700	Mpro	MESH:D014867	water	46
1636	ACE	MESH:D007052	ibuprofen	45
43740568	S	MESH:D002738	chloroquine	45
59272	ACE2	MESH:D010100	oxygen	45
8673700	Mpro	MESH:C000606551	remdesivir	45
2244	fibrinogen	MESH:D006493	heparin	44
2875	alanine aminotransferase	MESH:D009584	nitrogen	44
3569	interleukin (IL)-6	MESH:D014508	urea	44
26503	aspartate aminotransferase	MESH:D009584	nitrogen	43
59272	ACE2	MESH:D008055	Lipid	43
3440	interferon alpha-2b	MESH:C000606551	remdesivir	42
43740578	RdRp	MESH:D012254	Ribavirin	42
1401	C-reactive protein	MESH:D008775	methylprednisolone	41
7113	TMPRSS2	MESH:C032855	nafamostat	41
None	IL-12	MESH:D002738	CQ	41
1636	angiotensin-converting enzyme	MESH:D006886	hydroxychloroquine	40
57817	Hepcidin	MESH:D007501	iron	40
1401	C-reactive protein	MESH:D019344	lactate	39
3552	IL-1beta	MESH:D006886	hydroxychloroquine	39
59272	angiotensin converting enzyme 2	MESH:D005947	glucose	39
1636	angiotensin-converting enzyme	MESH:D002216	captopril	38
43740568	S	MESH:D008055	Lipid	38
59272	angiotensin-converting enzyme-2	MESH:D017382	ROS	38
185	AT1	MESH:D000450	aldosterone	37
3569	IL-6	MESH:D013256	steroids	37
59272	ACE2	MESH:D009538	nicotine	37
59272	ACE2	MESH:D013256	steroid	37
2147	thrombin	MESH:D006493	heparin	36
5045	furin	MESH:D012694	serine	36
7113	TMPRSS2	MESH:C000606551	remdesivir	36
2147	Prothrombin	MESH:D003404	Creatinine	35
3439	interferon alpha1b	MESH:D006886	hydroxychloroquine	35
3552	IL-1beta	MESH:D002738	CQ	35
3569	IL-6	MESH:D008775	methylprednisolone	35
43740568	S	MESH:D005732	gangliosides	35
8673700	Mpro	MESH:D061466	Lopinavir	35
1636	ACE	MESH:D010100	oxygen	34
183	angiotensin II	MESH:D012964	sodium	34
26503	AST	MESH:D005947	Glucose	34
59272	ACE2	MESH:C034532	camostat mesylate	34
59272	ACE2	MESH:D014807	vitamin D	34
None	Thymosin a1 China 3 3 (100) DRV/c	MESH:C558899	Lopinavir +- ritonavir	34
None	importin alpha/beta1	MESH:D006886	hydroxychloroquine	34
1401	CRP	MESH:C000606551	remdesivir	33
1508	cysteine protease	MESH:D012694	serine	33
3440	interferon alpha2b	MESH:C086979	arbidol	33
3456	interferon beta	MESH:D012254	ribavirin	33
3570	IL-6Ralpha	MESH:C000592401	sarilumab	33
43740568	S	MESH:D006886	Hydroxychloroquine	33
7113	Transmembrane Protease Serine 2	MESH:C558899	Lopinavir/ritonavir	33
1636	angiotensin-converting enzyme	MESH:D019808	losartan	32
26503	AST	MESH:C558899	lopinavir-ritonavir	32
43740578	RdRp	MESH:C462182	Favipiravir	32
1401	C-reactive protein	MESH:D061466	lopinavir	31
2244	Fibrinogen	MESH:D010100	oxygen	31
4758	neuraminidase	MESH:C000606551	Remdesivir	31
7124	Tumor Necrosis Factor-alpha	MESH:D000069285	infliximab	31
1401	CRP	MESH:C086979	arbidol	30
3569	IL-6	MESH:D006493	Heparins	30
3569	IL-6	MESH:D017382	reactive oxygen species	30
59272	ACE2	MESH:C437965	olmesartan	30
59272	ACE2	MESH:D012254	ribavirin	30
1401	C-reactive protein	MESH:D006493	Heparin	29
2678	GGT	MESH:D001663	bilirubin	29
3456	Interferon Beta	MESH:D006886	hydroxychloroquine	29
3569	interleukin-6	MESH:C540383	ruxolitinib	29
3569	IL-6	MESH:D009584	nitrogen	29
59272	ACE2	MESH:D012964	sodium	29
7124	TNF-alpha	MESH:D008070	lipopolysaccharide	29
920	CD4	MESH:D003404	creatinine	29
1636	ACE	MESH:D045162	thiazolidinediones	28
2244	FIB	MESH:D005947	GLU	28
284;285;51378;27329	Ang1-7	MESH:D000450	aldosterone	28
4151	Myoglobin	MESH:D003404	Creatinine	28
59272	ACE2	MESH:C502936	tocilizumab	28
7137	cTnI	MESH:D003404	Creatinine	28
183	angiotensin II	MESH:D019808	losartan	27
3569	IL-6	MESH:D006495	Low molecular weight heparin	27
462	ATIII	MESH:D006493	heparin	27
4758	Neuraminidase	MESH:C558899	Lopinavir/Ritonavir	27
59272	Angiotensin-converting enzyme-2	MESH:D004958	17beta-estradiol	27
59272	ACE2	MESH:D011134	glycan	27
65057	beta-CD	MESH:D003505	CD	27
6774	STAT3	MESH:D000077385	silibinin	27
695	Bruton's tyrosine kinase	MESH:C000604908	Acalabrutinib	27
1401	CRP	MESH:D002443	ceftriaxone	26
1401	CRP	MESH:D006495	low-molecular weight heparin	26
1401	CRP	MESH:D053139	oseltamivir	26
1514	cathepsin L	MESH:D017334	Teicoplanin	26
1636	ACE	MESH:C000606551	Remdesivir	26
1636	ACE	MESH:D012694	serine	26
213	Albumin	MESH:D009584	nitrogen	26
2475	mammalian target of rapamycin	MESH:D009173	MPA	26
3456	interferon-beta	MESH:D002738	chloroquine	26
3569	interleukin 6	MESH:C504234	siltuximab	26
43740568	S	MESH:C034532	camostat mesylate	26
43740578	RdRp	MESH:C517546	Galidesivir	26
43740578	RdRp	MESH:D000069474	Sofosbuvir	26
43740578	RdRp	MESH:D006859	hydrogen	26
59272	ACE2	MESH:D010634	luminal	26
7113	TMPRSS2	MESH:D002738	chloroquine	26
925	CD8	MESH:D003404	Creatinine	26
None	rna-dependent rna polymerase	MESH:C000606551	remdesivir	26
None	influenza A and B	MESH:D010100	oxygen	26
1401	C-reactive protein	MESH:C000592401	Sarilumab	25
3552	IL-1beta	MESH:D010100	O2	25
43740568	S	MESH:C032855	Nafamostat mesylate	25
4758	neuraminidase	MESH:D053243	zanamivir	25
59272	ACE2	MESH:D002118	calcium	25
59272	hACE2	MESH:D009822	Essential oils	25
7124	TNF	MESH:D000068879	adalimumab	25
7124	TNF-alpha	MESH:D003404	creatinine	25
1636	ACE	MESH:D002738	chloroquine	24
183	angiotensin-II	MESH:D012694	serine	24
213	albumin	MESH:D001663	bilirubin	24
3439	"Umifenovir China 11 11 (100) Novaferon, IFNalpha"	MESH:C000606551	Remdesivir	24
3439	interferon alpha1b	MESH:D002738	chloroquine	24
5562	AMPK	MESH:D010100	oxygen	24
59272	ACE2	MESH:C462182	Favipiravir	24
7124	TNF-alpha	MESH:D013256	steroids	24
920	CD4	MESH:D006886	hydroxychloroquine	24
1401	CRP	MESH:D013256	steroid	23
1514	cathepsin L	MESH:D012694	serine	23
185	AT1R	MESH:D019808	Losartan	23
2147	Thrombin	MESH:D012694	serine	23
26503	AST	MESH:D010100	oxygen	23
3440	IFN-alpha	MESH:D061466	lopinavir	23
3569	IL6	MESH:D014807	vitamin D	23
43740578	RdRp	MESH:C558899	Lopinavir/Ritonavir	23
59272	ACE2	MESH:D008070	lipopolysaccharide	23
59272	ACE2	MESH:D009584	nitrogen	23
7124	tumor necrosis factor-alpha	MESH:D017382	reactive oxygen species	23
1401	CRP	MESH:D016559	tacrolimus	22
1636	ACE	MESH:C558899	Lopinavir/ritonavir	22
3458	interferon gamma	MESH:C502936	tocilizumab	22
3569	IL-6	MESH:D008055	lipid	22
4151	Myoglobin	MESH:D014508	Urea	22
43740568	S	MESH:D006859	Hydrogen	22
43740568	S	MESH:D061466	lopinavir	22
59272	ACE2	MESH:D045162	thiazolidinediones	22
637	bid	MESH:D006886	hydroxychloroquine	22
7113	TMPRSS2	MESH:D006886	hydroxychloroquine	22
8909	EndoU	MESH:C100171	Glisoxepide	22
8909	EndoU	MESH:D015255	Idarubicin	22
920	CD4	MESH:D010100	oxygen	22
101093891	cat	MESH:D015767	mefloquine	21
1514	cathepsin L	MESH:D006020	glycopeptide	21
183	angiotensin II	MESH:D017382	ROS	21
2244	fibrinogen	MESH:D014508	urea	21
3569	IL-6	MESH:C000596027	Baricitinib	21
3569	IL6	MESH:D008070	lipopolysaccharide	21
43740568	spike	MESH:D017963	Azithromycin	21
4879	brain natriuretic peptide	MESH:D003404	creatinine	21
59272	angiotensin-converting enzyme 2	MESH:D002784	cholesterol	21
59272	angiotensin-converting enzyme 2	MESH:D005732	gangliosides	21
5972	renin	MESH:D014807	vitamin D	21
7421	vitamin D receptor	MESH:D014807	vitamin D	21
8673700	Mpro	MESH:D019438	ritonavir	21
1514	cathepsin L	MESH:D002738	chloroquine	20
1636	ACE	MESH:D017706	lisinopril	20
1803	dipeptidyl peptidase-4	MESH:D005947	glucose	20
2147	serine protease	MESH:C034532	camostat mesylate	20
2147	thrombin	MESH:D005947	glucose	20
23523	CNI	MESH:D009173	MPA	20
2580	cyclin G-associated kinase	MESH:C000596027	baricitinib	20
3569	interleukin-6	MESH:C462182	Favipiravir	20
3586	IL-10	MESH:D003404	Creatinine	20
59272	angiotensin converting enzyme-2	MESH:C086979	arbidol	20
59272	ACE2	MESH:D003404	creatinine	20
59272	ACE2	MESH:D008239	Lysine	20
59272	ACE2	MESH:D017706	lisinopril	20
6524	SGLT2	MESH:D005947	glucose	20
695	BTK	MESH:C551803	ibrutinib	20
920	CD4	MESH:D014508	urea	20
9970	chimeric antigen receptor	MESH:C502936	tocilizumab	20
1401	C-reactive protein	MESH:D019438	ritonavir	19
1440	granulocyte-colony stimulating factor	MESH:C502936	tocilizumab	19
1576	CYP3A4	MESH:D006886	(hydroxy)chloroquine	19
2147	prothrombin	MESH:D014508	urea	19
3458	interferon-gamma	MESH:D002738	Chloroquine	19
3552	IL1beta	MESH:D008070	lipopolysaccharide	19
3558	IL-2	MESH:C502936	tocilizumab	19
3569	IL-6	MESH:C086979	Umifenovir	19
3569	IL-6	MESH:D003078	colchicine	19
3569	interleukin-6	MESH:D007501	iron	19
3569	IL-6	MESH:D012694	serine	19
3569	IL-6	MESH:D061466	lopinavir	19
3716	JAK1	MESH:C000596027	baricitinib	19
3717	JAK2	MESH:C000596027	baricitinib	19
43740578	RdRp	MESH:D000068698	tenofovir	19
4513	COX-2	MESH:D011453	prostaglandin	19
4591	muL	MESH:D010100	oxygen	19
4780	Nrf2	MESH:D010126	Ozone	19
4790	NF-kappaB	MESH:D017382	ROS	19
5196	PF4	MESH:D006493	heparin	19
653108	CAR	MESH:C502936	Tocilizumab	19
7113	TMPRSS2	MESH:D006859	hydrogen	19
7124	TNF-alpha	MESH:C000606551	GS-5734	19
8909	EndoU	MESH:D019343	citrate	19
925	CD8	MESH:C502936	tocilizumab	19
925	CD8	MESH:D014508	urea	19
1401	CRP	MESH:D017984	enoxaparin	18
1576	CYP3A4	MESH:C000606551	remdesivir	18
1636	angiotensin-converting enzyme	MESH:D002118	calcium	18
183	Ang I	MESH:D014867	water	18
2244	fibrinogen	MESH:D006495	Low molecular weight heparin	18
2875	alanine aminotransferase	MESH:D010100	oxygen	18
351	a	MESH:D002784	cholesterol	18
3569	IL-6	MESH:D001205	ascorbic acid	18
3569	IL-6	MESH:D012254	Ribavirin	18
3630	insulin	MESH:D010100	oxygen	18
43740568	Spike	MESH:D012254	Ribavirin	18
43740578	RdRp	MESH:D061466	Lopinavir	18
4758	neuraminidase	MESH:C414210	peramivir	18
5366	Apr	MESH:D006886	Hydroxychloroquine	18
59272	ACE2	MESH:C032855	nafamostat	18
59272	ACE2	MESH:D005973	Q	18
59272	ACE2	MESH:D019438	ritonavir	18
70008	ACE2	MESH:D019808	losartan	18
7113	TMPRSS2	MESH:D001964	bromhexine	18
7113	TMPRSS2	MESH:D013256	steroid	18
920	CD4	MESH:C502936	tocilizumab	18
920	CD4	MESH:D002738	CQ	18
1401	C-reactive protein	MESH:D003078	colchicine	17
1401	c-reactive protein	MESH:D014280	triglycerides	17
1437	GM-CSF	MESH:C502936	Tocilizumab	17
1803	Dipeptidyl peptidase 4	MESH:D000068900	sitagliptin	17
1803	DPP4	MESH:D012694	serine	17
2475	mTOR	MESH:D000068338	everolimus	17
3439	IFN-beta	MESH:D061466	Lopinavir	17
3458	interferon-gamma	MESH:D006886	hydroxychloroquine	17
3552	IL-1beta	MESH:D017382	ROS	17
3576	IL-8	MESH:D010100	oxygen	17
3586	IL-10	MESH:C502936	tocilizumab	17
43740568	S	MESH:D014867	water	17
43740575	N	MESH:D014867	water	17
43740578	RdRp	MESH:D000069616	Simeprevir	17
43740578	RdRp	MESH:D002738	Chloroquine	17
54474	CD20	MESH:D000069283	Rituxan	17
5914	RARbeta	MESH:D014212	retinoic acid	17
7113	TMPRSS2	MESH:D006147	Guanine	17
7124	TNF-alpha	MESH:D007501	iron	17
7124	tumor necrosis factor (TNF)-alpha	MESH:D009569	nitric oxide	17
None	"alanine aminotransferase (80 U/L), gamma-glutamyltransferase (153 U/L), alkaline phosphatase"	MESH:D017963	azithromycin	17
1401	CRP	MESH:D000450	aldosterone	16
1401	CRP	MESH:D009173	mycophenolate mofetil	16
1508	cysteine protease	MESH:C034532	camostat mesylate	16
1636	Angiotensin-converting enzyme	MESH:D005947	glucose	16
1636	ACE	MESH:D017382	ROS	16
1803	DPP4	MESH:D045162	thiazolidinediones	16
2159	factor Xa	MESH:D006493	heparin	16
2875	alanine aminotransferase	MESH:D005947	glucose	16
3440	Interferon alpha-2b	MESH:D010100	oxygen	16
3458	interferon gamma	MESH:D010100	oxygen	16
3569	IL-6	MESH:D000450	aldosterone	16
3569	interleukin-6	MESH:D019344	lactate	16
3569	IL-6	MESH:D053139	Oseltamivir	16
3630	insulin	MESH:D000077205	pioglitazone	16
3717	JAK2	MESH:C528327	Fedratinib	16
3717	JAK2	MESH:C540383	ruxolitinib	16
43740568	S	MESH:C558899	Lopinavir/ritonavir	16
43740568	spike	MESH:D006493	Heparin	16
43740568	spike	MESH:D019158	sialic acid	16
43740578	RdRp	MESH:D000068898	Raltegravir	16
43740578	ORF1ab	MESH:D014867	water	16
4591	muL	MESH:D003404	creatinine	16
4758	Neuraminidase	MESH:D002738	Chloroquine	16
51284	TLR7	MESH:D006886	hydroxychloroquine	16
551	vasopressin	MESH:D009638	norepinephrine	16
59272	ACE2	MESH:D000082	acetaminophen	16
59272	ACE2	MESH:D006493	heparin	16
59272	ACE2	MESH:D009569	nitric oxide	16
59272	angiotensin-converting enzyme 2	MESH:D019158	sialic acid	16
6347	MCP-1	MESH:C502936	tocilizumab	16
637	bid	MESH:D010100	oxygen	16
6521	Sao	MESH:D010126	O3	16
6524	sodium glucose cotransporter-2	MESH:D008687	metformin	16
7124	TNF	MESH:D010431	pentoxifylline	16
7124	tumor necrosis factor-alpha	MESH:D014508	urea	16
7124	TNF-alpha	MESH:D017963	azithromycin	16
717	C1 and C2	MESH:D061466	lopinavir	16
8673700	Mpro	MESH:D019258	saquinavir	16
8673700	Mpro	MESH:D019888	nelfinavir	16
925	CD8	MESH:D002738	CQ	16
925	CD8	MESH:D010100	oxygen	16
959	CD154	MESH:D006886	hydroxychloroquine	16
966	min-1	MESH:D010100	oxygen	16
None	inosine monophosphate dehydrogenase	MESH:D012254	Ribavirin	16
1401	C-reactive protein	MESH:D008055	lipid	15
1401	C-reactive protein	MESH:D012964	sodium	15
1576	cytochrome P450-3A4	MESH:D012254	ribavirin	15
16194	mIL-6R	MESH:C502936	Tocilizumab	15
1636	ACE	MESH:C502936	Tocilizumab	15
185	angiotensin II type 1 receptor	MESH:D000077333	telmisartan	15
2147	thrombin	MESH:D006495	low molecular weight heparin	15
2475	mTOR	MESH:D016559	FK506	15
302668	ACE2	MESH:D019808	losartan	15
3439	IFN-alpha	MESH:C086979	arbidol	15
3440	IFN-alpha	MESH:D006886	hydroxychloroquine sulfate	15
3569	IL-6	MESH:D008727	methotrexate	15
3630	insulin	MESH:D002241	carbohydrate	15
3716	JAK1	MESH:C540383	Ruxolitinib	15
4311	neprilysin	MESH:C549068	sacubitril	15
43740571	membrane	MESH:D012694	Ser	15
4758	neuraminidase	MESH:C086979	Arbidol	15
5243	P-glycoprotein	MESH:C558899	lopinavir/ritonavir	15
5243	MDR1	MESH:D019438	ritonavir	15
55107	Transmembrane member 16A	MESH:D001639	bicarbonate	15
59272	ACE2	MESH:C003915	Diminazene aceturate	15
59272	ACE2	MESH:D000077333	telmisartan	15
59272	ACE2	MESH:D019344	lactic acid	15
59272	ACE2	MESH:D053139	oseltamivir	15
7124	TNF-a	MESH:D008055	lipid	15
728226	GGT	MESH:D001663	TBIL	15
7422	VEGF	MESH:C502936	tocilizumab	15
7422	VEGF	MESH:D000068258	bevacizumab	15
None	monomer A and B	MESH:D006859	hydrogen	15
None	"alpha-, beta- and gamma-CD scaffolds"	MESH:D053139	oseltamivir	15
1241	B leukotriene subtype 1	MESH:D015289	leukotriene	14
1401	C-reactive protein	MESH:D000077731	meropenem	14
1401	C-reactive protein	MESH:D011188	potassium	14
1576	CYP3A	MESH:D016559	tacrolimus	14
1803	Dipeptidyl peptidase 4	MESH:D000069476	linagliptin	14
2147	serine protease	MESH:C032855	nafamostat	14
2147	prothrombin	MESH:D009584	nitrogen	14
3439	IFN-beta	MESH:D008775	Methylprednisolone	14
3439	IFN-alpha	MESH:D019438	ritonavir	14
3440	interferon alpha2b	MESH:D053139	oseltamivir	14
3456	interferon beta	MESH:C502936	tocilizumab	14
3574	IL-7	MESH:C502936	tocilizumab	14
3630	insulin	MESH:D008687	metformin	14
43740568	spike	MESH:C025759	Saikosaponins	14
43740568	S	MESH:D005973	Q	14
43740568	Spike	MESH:D009584	N	14
43740575	nucleocapsid	MESH:D012694	serine	14
43740578	RdRp	MESH:D000077385	silibinin	14
462	antithrombin	MESH:D006495	low molecular weight heparin	14
4780	Nrf2	MESH:D059808	polyphenols	14
4790	NF-kappaB	MESH:D010100	O2	14
4846	endothelial nitric oxide synthase	MESH:D009569	nitric oxide	14
50528	TMPRSS2	MESH:D012694	serine	14
5243	MDR1	MESH:D061466	lopinavir	14
5447	por	MESH:C558899	Lopinavir/ritonavir	14
59272	ACE2	MESH:D002216	captopril	14
637	Bid	MESH:C558899	lopinavir/ritonavir	14
6521	Sao	MESH:D002248	CO	14
682	extracellular matrix metalloproteinase inducer	MESH:D017963	azithromycin	14
7124	TNF-alpha	MESH:D015232	PGE2	14
7373	und	MESH:C000606551	Remdesivir	14
7431	Vimentin	MESH:D000117	GlcNAc	14
8673700	Mpro	MESH:D000068898	Raltegravir	14
8673700	Mpro	MESH:D000069616	Simeprevir	14
115004	cyclic GMP-AMP (cGAMP) synthase	MESH:D006886	hydroxychloroquine	13
1401	C-reactive protein	MESH:C093415	pO2	13
1401	C-reactive protein	MESH:D002738	Chloroquine	13
1401	CRP	MESH:D014807	vitamin D	13
1437	granulocyte macrophage colony-stimulating factor	MESH:C489897	Silvestrol	13
1471	Cystatin C	MESH:D003404	Creatinine	13
1636	angiotensin converting enzyme	MESH:D008070	LPS	13
1636	ACE	MESH:D012964	sodium	13
183	Angiotensin II	MESH:D010100	oxygen	13
26503	AST	MESH:C000606551	Remdesivir	13
3162	Heme Oxygenase-1	MESH:D006418	heme	13
3440	Interferon alpha-2b	MESH:D019438	Ritonavir	13
351	A	MESH:D006493	heparin	13
3552	IL-1	MESH:D013256	steroid	13
3569	IL-6	MESH:C489897	silvestrol	13
3569	IL-6	MESH:D019438	ritonavir	13
3576	IL-8	MESH:C489897	silvestrol	13
3586	IL-10	MESH:C489897	silvestrol	13
3586	IL-10	MESH:D014508	urea	13
3627	interferon-gamma-inducible protein 10	MESH:C502936	tocilizumab	13
3757	Kv11.1	MESH:D006886	hydroxychloroquine	13
43740568	S	MESH:D002784	cholesterol	13
43740578	ORF1ab	MESH:D012694	serine	13
4512	COX-1	MESH:D011453	prostaglandins	13
4513	COX-2	MESH:D015232	PGE2	13
4758	neuraminidase	MESH:D012254	ribavirin	13
4790	NF-kappaB	MESH:D003474	curcumin	13
4790	nuclear factor-kappa B	MESH:D008070	lipopolysaccharide	13
4790	NF-kappaB	MESH:D010126	O3	13
4846	eNOS	MESH:D004958	17beta-estradiol	13
4879	BNP	MESH:D014508	urea	13
5045	Furin	MESH:D001120	Arg	13
5562	AMPK	MESH:D000249	AMP	13
5914	RARbeta	MESH:D014801	retinol	13
59272	ACE2	MESH:D000073893	sugar	13
59272	ACE2	MESH:D003078	colchicine	13
59272	ACE2	MESH:D007930	Leucine	13
59272	ACE2	MESH:D013739	testosterone	13
64292	mPGES-1	MESH:D000077341	lapatinib	13
7113	TMPRSS2	MESH:D061466	Lopinavir	13
7124	tumor necrosis factor	MESH:D000069549	ustekinumab	13
7124	tumor necrosis factor (TNF)-alpha	MESH:D008727	methotrexate	13
7124	TNFalpha	MESH:D012694	serine	13
8909	EndoU	MESH:C086167	Tasosartan	13
920	CD4	MESH:C558899	lopinavir/ritonavir	13
920	CD4	MESH:D009584	nitrogen	13
925	CD8	MESH:D006886	hydroxychloroquine	13
None	Angiotensin 1-7	MESH:D014867	water	13
None	RNA-dependent RNA polymerases	MESH:D061466	Lopinavir	13
100128998	tissue plasminogen activator	MESH:D006493	heparin	12
100616444	Env	MESH:D011134	glycans	12
114548	NLRP3	MESH:D008550	Melatonin	12
1161	CsA	MESH:D004121	DMSO	12
1401	C-reactive protein	MESH:C000604908	acalabrutinib	12
1401	C-reactive protein	MESH:D000077266	moxifloxacin	12
1401	CRP	MESH:D000082	acetaminophen	12
1401	C-reactive protein	MESH:D003401	creatine	12
1401	c-reactive protein	MESH:D011241	prednisone	12
1401	C-reactive protein	MESH:D012254	Ribavirin	12
1565	CYP2D6	MESH:D002738	Chloroquine	12
1636	angiotensin-converting enzyme	MESH:D013256	steroids	12
1636	ACE	MESH:D014807	Vitamin D	12
1636	ACE	MESH:D017963	azithromycin	12
164045	helicase	MESH:C487581	bananins	12
1803	DPP-4	MESH:D006886	HCQ	12
1803	dipeptidyl peptidase-4	MESH:D008687	metformin	12
183	angiotensin II	MESH:D006886	hydroxychloroquine	12
21898	TLR4	MESH:D008070	lipopolysaccharide	12
2244	fibrinogen	MESH:D009584	nitrogen	12
2335	cig	MESH:D009538	nicotine	12
23523	calcineurin inhibitor	MESH:D011241	Prednisone	12
2475	mTOR	MESH:D006886	hydroxychloroquine	12
2475	mammalian target of rapamycin	MESH:D013256	steroids	12
25	ABL	MESH:D000068877	imatinib	12
302668	Angiotensin-converting enzyme 2	MESH:D004656	Enalapril	12
3309	HSPA5	MESH:C055494	caffeic acid phenethyl ester	12
3552	IL-1beta	MESH:D010126	O3	12
3565	IL-4	MESH:C489897	silvestrol	12
3569	interleukin (IL)-6	MESH:D000069285	infliximab	12
3569	interleukin-6	MESH:D000241	Adenosine	12
3569	IL-6	MESH:D008687	metformin	12
3569	IL-6	MESH:D009569	nitric oxide	12
3569	IL-6	MESH:D011794	quercetin	12
3570	Interleukin-6 Receptor	MESH:C000606551	Remdesivir	12
3572	gp130	MESH:C502936	tocilizumab	12
3586	IL-10	MESH:D010100	oxygen	12
3630	insulin	MESH:D006886	HCQ	12
3757	KCNH2	MESH:D017963	azithromycin	12
43740568	S	MESH:D005677	GM1	12
43740578	RdRp	MESH:D006886	Hydroxychloroquine	12
43740578	RdRp	MESH:D010100	oxygen	12
5443	ACTH	MESH:D006854	cortisol	12
5443	ACTH	MESH:D011239	prednisolone	12
59272	ACE2	MESH:C000596027	Baricitinib	12
59272	ACE2	MESH:D001120	Arg	12
59272	ACE2	MESH:D001663	bilirubin	12
59272	ACE2	MESH:D006497	heparan sulfate	12
59272	ACE2	MESH:D010649	Phenylalanine	12
6256	RXR	MESH:D014212	RA	12
7018	transferrin	MESH:D007501	iron	12
7113	TMPRSS2	MESH:C000596027	Baricitinib	12
7113	TMPRSS2	MESH:C502936	tocilizumab	12
7113	TMPRSS2	MESH:D006493	heparin	12
7124	TNF-alpha	MESH:C540383	Ruxolitinib	12
7124	TNF-alpha	MESH:D011453	prostaglandins	12
7448	S protein	MESH:D006859	hydrogen	12
8673700	Mpro	MESH:D004176	DIP	12
8673700	Mpro	MESH:D006886	HCQ	12
